"Aicte ID,Name,Address,Zone,City,District,State,Institution Type"
"1-36459103826,GOVERNMENT ENGINEERING COLLEGE DAMAN,""VARKUND, MOTA FALIYA, NANI DAMAN"",Daman,DAMAN,Daman And Die,Daman And Die,Government"
"1-36212956303,JAMIA MILLIA ISLAMIA (A CENTRAL UNIVERSITY),""FACULTY OF ENGINEERING & TECHONOLOGY JAMIA MILLIA ISLAMIA MAULANA MOHAMMED ALI JAUHAR MARG JAMIA NAGAR, NEW DELHI-110025"",Jamia Nagar,SOUTH DELHI,Delhi,Delhi,Central University"
"1-36237816536,NSUT EAST CAMPUS,""GEETA COLONY, DELHI - 110 031"",Geeta Colony,EAST DELHI,Delhi,Delhi,State Government University"
"1-36252248954,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,""KASHMERE GATE, DELHI"",Kashmere Gate,CENTRAL DELHI,Delhi,Delhi,State Government University"
"1-36445290491,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY WEST CAMPUS,BEHIND RAO TULA RAM HOSPITAL JAFFARPUR DELHI-110073,Jaffarpur,SOUTH WEST DELHI,Delhi,Delhi,State Government University"
"1-36455444849,BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING,""A-4, PASCHIM VIHAR, ROHTAK ROAD, NEW DELHI - 110 063."",Paschim Vihar,WEST DELHI,Delhi,Delhi,Private-Self Financing"
"1-36456404569,DR. AKHILESH DAS GUPTA INSTITUTE OF TECHNOLOGY & MANAGEMENT,""FC-26, SHASTRI PARK,"",Shastri Park,NORTH WEST DELHI,Delhi,Delhi,Private-Self Financing"
"1-36488479244,JAMIA HAMDARD,""HAMDARD NAGAR, NEW DELHI-110062"",Hamdard Nagar,SOUTH DELHI,Delhi,Delhi,Govt aided"
"1-36528682846,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY,""AZAD HIND FAUJ MARG, SECTOR-3, DWARKA, NEW DELHI-110078"",Dwarka,SOUTH WEST DELHI,Delhi,Delhi,State Government University"
"1-36594513957,DSEU OKLHA-II CAMPUS,""CAMPUS -I WAZIRPUR INDUSTRIAL AREA, DELHI - 110 052 CAMPUS-II - SHRI MAA ANANDMAYI MARG, OKHLA INDUSTRIAL AREA, PHASE-II, NEW DELHI-110020."",Okhla Industrial Area,CENTRAL DELHI,Delhi,Delhi,Government"
