AICTE ID,NAME,PROGRAMME,UNIVERSITY,LEVEL OF COURSE,COURSE,INTAKE,ADDRESS,ZONE,CITY,DISTRICT,STATE,INSTITUTE TYPE,,
1-36445329000,"V.K.R., V.N.B. A.G.K. COLLEGE OF ENGINEERING",MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,60,"ELURU ROAD, GUDIVADA-521301 KRISHNA DISTRICT A.P.",COASTAL ANDHRA,GUDIVADA,KRISHNA,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36597706135,ABHINAV INSTITUTE OF MANAGEMENT & TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,120,"SOMARAJUPALLI, SINGARAYAKONDA PRAKASAM DISTRICT A.P. - 523 101",COASTAL,BALUSUMUDI,PRAKASAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36445367846,NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MASTERS IN BUSINESS ADMINISTRATION,120,"NIMRA NAGAR JUPUD,IBRAHIMPATNAM-521 456,KRISHNA DT., ANDHRA PRADESH",COASTAL ANDHRA,JUPUD,KRISHNA,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36599573010,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,120,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",COASTAL,GOOTY,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36445371983,SRI BALAJI PG COLLEGE (MBA),MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,180,"SRI BALAJI PG COLLEGE(MBA) RUDRAMPET, ALAMURU (P) ANANTAPUR(DISTRICT) A.P",RAYALASEEMA,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36592312414,PRR INSTITUTE OF MANAGMENT SCIENCES,MANAGEMENT,"SRI KRISHNADEVARAYA UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,120,"NEAR MARKET YARD, RAILWAY STATION ROAD, GOOTY",RAYALASEEMA,TIRUPATI,ANANTAPUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36445382794,AVANTHI'S RESEARCH & TECHNOLOGICAL ACADEMY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,120,"AVANTHI'S RESEARCH & TECHNOLOGICAL ACADEMY BASAVAPALEM VILLAGE, BHOGAPURAM MANDALAM, VIZIANAGARAM DISTRICT.",COASTAL ANDHRA,BHOGAPURAM,VIZIANAGARAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36592585610,GATE INSTITUTE OF TECHNOLOGY AND MANAGEMENT SCIENCES,MANAGEMENT,"SRI VENKATESWARA UNIVERSITY, TIRUPATI",POST GRADUATE,MBA,120,"CHIGURAVADA NORTH KANDRIGA (V), RAYALACHERUVU ROAD TIRUPATI RURAL",RAYALASEEMA,PUTTUR,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36446080857,SIR C R REDDY COLLEGE OF ENGINEERING,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,60,VATLURU ELURU WEST GODAVARI DISTRICT,COASTAL ANDHRA,ELURU,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36591792358,HINDU COLLEGE OF MANAGEMENT,MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA,120,AMARAVATHI ROAD,COASTAL,RAJAHMUNDRY,GUNTUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
